#{"t_start": 1770891971.5386417, "env_id": "None"}
r,l,t
-101.79791,1,2605.198079
-91.31674,1,2605.508915
-55101.492,9926,2612.059295
-67616.0,9926,2612.059361
-60114.254,9926,2612.335262
-64303.562,10001,2616.280607
-55388.945,9926,2620.497259
-145662.42,6789,2623.103645
-47923.29,9926,2628.683131
-48843.824,5854,2644.478062
-78186.03,9926,2644.938219
-211980.95,9926,2652.339148
-62092.246,9926,2655.455647
-260416.75,9927,2684.816583
-108291.71,9927,2705.332193
-275450.3,9927,2715.549277
-76101.07,9927,2724.185943
-281384.22,10001,2728.780923
-74032.86,9927,2731.70503
-138927.75,9927,2736.940184
-85618.5,9927,2739.617809
-57602.695,9927,2741.336465
-133102.72,9927,2743.79569
-45165.97,9927,2746.977014
-44868.832,9927,2747.751324
-63756.97,9442,2750.839476
-73637.22,10001,2769.143337
-83.1808,1,2769.166211
-97.9076,1,2769.188722
-91.91005,1,2769.488488
-111793.74,9927,2771.835901
-47008.992,9928,2774.098722
-128141.43,9928,2783.214094
-173178.06,9928,2813.043938
-143557.22,9928,2817.000962
-144084.08,8301,2822.501633
-192651.9,9928,2828.725888
-88.84514,1,2829.014307
-42650.32,9928,2844.296522
-96144.59,9928,2850.995079
-60163.93,9928,2850.995141
-63478.406,9928,2851.261511
-46527.035,9928,2855.113741
-124313.664,9928,2859.421464
-45230.35,9928,2867.215842
-89842.836,6021,2882.021931
-69033.984,9929,2883.139532
-145886.7,9929,2883.596005
-115527.5,10001,2892.925517
-71995.05,10001,2896.333368
-68784.28,7510,2897.497029
-65766.6,5942,2917.070721
-47473.477,9929,2924.342715
-87984.21,7823,2928.336463
-58992.875,9929,2944.992476
-47734.85,9929,2963.655679
-44040.523,9930,2968.292112
-43921.363,9930,2971.295177
-118438.88,9930,2980.198554
-125936.0,10001,2984.728859
-58662.633,9930,2985.917081
-191102.05,9930,2986.77126
-240229.06,9930,2989.775375
-62037.777,9930,3008.326865
-98.969,1,3008.352289
-44077.695,9930,3010.741958
-58542.22,9930,3021.827845
-125283.8,5078,3045.714478
-85.1774,1,3046.001075
-279493.1,9707,3050.099664
-94.07549,1,3050.382053
-95241.414,6998,3051.364039
-165710.83,9930,3052.187361
-161600.38,9930,3061.15937
-229292.69,9931,3067.778705
-130034.96,10001,3085.003462
-49558.387,9931,3089.945115
-210845.72,9931,3089.945153
-81226.85,9931,3090.203204
-108071.63,9725,3093.099259
-83.42481,1,3093.351476
-79967.79,9931,3094.317838
-51161.79,9931,3106.002081
-92.8373,1,3106.025264
-94.0514,1,3106.29987
-180783.11,8976,3112.181284
-250531.14,9931,3121.321398
-90086.695,9931,3122.415545
-85.78791,1,3122.697781
-85412.77,9931,3132.032015
-137403.05,9931,3136.042576
-85817.21,9428,3154.831956
-54436.414,9931,3155.958078
-92025.62,5577,3156.421497
-144419.55,9932,3183.64118
-186425.92,9624,3194.98518
-276609.94,9932,3206.903058
-52570.06,9932,3209.53853
-59363.965,10001,3220.151362
-191304.94,9932,3222.705361
-62456.125,9932,3224.806473
-232996.06,10001,3226.01598
-218326.39,9932,3227.716935
-67585.445,10001,3248.037349
-143180.8,9932,3248.503643
-58433.727,9933,3283.584376
-67606.25,9933,3287.975941
-52395.754,9933,3288.811183
-89.426735,1,3288.832435
-62368.23,9933,3289.677845
-45144.1,10001,3300.15779
-86.66692,1,3300.437174
-55885.133,9933,3305.470368
-120966.27,9933,3322.591062
-41179.26,9933,3327.578313
-78337.016,9933,3327.578387
-45757.133,9933,3327.828287
-57680.81,9933,3330.865896
-48948.98,9933,3331.573242
-59806.5,9933,3343.56068
-161168.67,9933,3349.443073
-69844.6,6036,3351.224245
-71562.07,9934,3358.793329
-56775.72,9934,3359.908264
-100.13721,1,3359.932248
-44541.84,9934,3368.989102
-82.03606,1,3369.262952
-50704.062,10001,3375.181373
-126905.734,9934,3392.203613
-195612.89,9934,3393.326025
-48763.16,9934,3393.779583
-49327.156,9934,3420.883829
-65255.574,9934,3431.89709
-242741.22,9904,3445.509472
-253193.11,10001,3458.663451
-58709.316,10001,3461.490214
-53154.69,9935,3461.991334
-53761.29,9935,3462.947415
-115053.97,10001,3466.284047
-82.94721,1,3466.560345
-40619.32,5923,3484.733266
-168869.55,9935,3485.178
-239249.97,10001,3487.48218
-52312.99,7346,3502.985647
-102.53225,1,3503.01242
-78997.33,7761,3516.734803
-199842.34,9750,3517.133287
-122997.37,6222,3517.80144
-124831.66,6696,3519.980462
-216511.19,9935,3526.293389
-47314.273,9935,3527.905211
-45180.574,10001,3529.014947
-57409.797,9935,3538.909133
-53380.99,9935,3543.592253
-55952.113,9936,3560.901149
-59335.05,9936,3565.854153
-40965.05,9936,3565.854204
-55544.867,9936,3568.720675
-102472.57,9936,3587.268085
-104.0521,1,3587.537053
-105414.305,9936,3589.266552
-139966.33,9936,3596.742617
-86.78256,1,3597.018416
-42971.78,9936,3613.217485
-42925.184,9936,3630.712043
-46898.07,9936,3631.602755
-60017.105,9936,3631.867323
-121659.13,9937,3659.70458
-54996.47,10001,3672.688144
-126578.555,10001,3686.628888
-46361.55,9937,3698.25909
-41171.754,9937,3701.030034
-56616.184,9937,3701.30485
-134670.97,10001,3704.010692
-51908.25,9937,3706.040818
-59902.848,10001,3725.84445
-161541.22,8192,3726.083518
-48165.496,10001,3726.464879
-99265.27,9937,3727.223974
-101087.734,6899,3735.24457
-312293.38,10001,3744.611581
-149778.64,9248,3749.266328
-91638.83,6843,3752.768479
-93416.6,9938,3757.043747
-45610.117,9938,3757.43918
-55577.19,9938,3758.084107
-45448.297,9938,3760.248878
-278453.53,9351,3764.534733
-49916.01,9938,3767.873333
-59920.812,10001,3784.97413
-174090.19,9938,3800.596761
-53584.387,9938,3805.452649
-96524.945,9938,3805.452704
-83.635056,1,3805.665443
-131873.66,9938,3828.479335
-82542.734,9938,3836.113592
-194916.98,10001,3853.816307
-163088.33,6555,3858.731017
-47502.07,9939,3869.821633
-148883.11,10001,3872.156349
-81.7974,1,3872.413855
-143961.66,10001,3872.629753
-100.4235,1,3872.858723
-38468.996,5013,3880.253347
-69595.02,9437,3887.182229
-36840.75,3424,3887.804483
-86.2859,1,3888.057264
-57046.57,9939,3911.931967
-137267.39,9939,3925.58044
-91.88748,1,3925.838865
-198201.48,9939,3937.194659
-84.26261,1,3937.454632
-142564.72,5577,3939.310564
-50467.79,10001,3942.154099
-61807.832,9940,3943.41237
-94037.984,9940,3945.189832
-97.505516,1,3945.4405
-160738.42,9940,3965.165916
-171337.75,9940,3965.210499
-43048.145,9940,3966.444954
-55023.49,10001,3967.481608
-50308.32,9940,3974.336516
-84.55349,1,3974.595953
-53643.875,9940,3983.956168
-176968.61,9779,3984.823259
-76236.766,9940,3991.961751
-120600.75,9940,3996.005529
-144636.61,9940,3996.449139
